Behavior,Time
Sloped,23.33
Sloped,47.97
Vertical,75.25
Sloped,11.22
Sloped,11.4
Vertical,347.83
Sloped,35.9
Sloped,53.75
Sloped,23.93
Sloped,83.17
Vertical,34.08
Vertical,254.53
Vertical,60.25
Vertical,65.86
Vertical,40.88
Vertical,58.57
Sloped,46.65
Vertical -> Sloped,205.85
Sloped,49.62
Vertical,154.19
Sloped,29.9
Vertical -> Sloped,212.92
Sloped,48.87
Vertical,49.77
Sloped,28.28
Vertical -> Sloped,189.02
Vertical,93.79
Vertical,60.78
Vertical,60.55
Vertical,55.05
Sloped,34.61
Sloped,83.22
Sloped,59.35
Sloped,21.61
Vertical,54.87
Sloped,26.53
Sloped,26.83
Vertical,118.25
Vertical -> Sloped,183.04
Vertical,137.62
Vertical,63.15
Vertical,360.92
Sloped,40.32
Sloped,30.38
Sloped,22.21
Sloped,188.56
Vertical,70.96
Sloped,22.56
Sloped,40.05
